"NumberOfPorts","ComputerName","Model","PortWWN","ModelDescription","DriverVersion","UniqueAdapterId","NodeWWN","FirmwareVersion","DriverName","Active"
"1","BACKUP-NODE1","BCM57810","System.Object[]","FCoE Adapter","7.13.4.0","18446738026877136904","50:06:0b:00:00:c2:86:1b","7.13.3.0","bxfcoe.sys","True"
"1","BACKUP-NODE2","BCM57810","System.Object[]","FCoE Adapter","7.13.4.0","18446738026838339592","50:06:0b:00:00:c2:72:1d","7.13.3.0","bxfcoe.sys","True"
"1","BACKUP-NODE2","BCM57810","System.Object[]","FCoE Adapter","7.13.4.0","18446738026879725576","50:06:0b:00:00:c2:72:1f","7.13.3.0","bxfcoe.sys","True"
"1","CC-SLOGGER","BCM57810","System.Object[]","FCoE Adapter","7.13.4.0","18446738026625843208","50:06:0b:00:00:c2:72:01","7.13.3.0","bxfcoe.sys","True"
"1","CC-SLOGGER","BCM57810","System.Object[]","FCoE Adapter","7.13.4.0","18446738026651258888","50:06:0b:00:00:c2:72:03","7.13.3.0","bxfcoe.sys","True"
"1","CC-SCENTER","BCM57810","System.Object[]","FCoE Adapter","7.13.4.0","18446738026615328776","50:06:0b:00:00:c2:86:05","7.13.3.0","bxfcoe.sys","True"
"1","CC-SCENTER","BCM57810","System.Object[]","FCoE Adapter","7.13.4.0","18446738026647359496","50:06:0b:00:00:c2:86:07","7.13.3.0","bxfcoe.sys","True"
"1","CC-SQL2","BCM57810","System.Object[]","FCoE Adapter","7.13.4.0","18446738026615476232","50:06:0b:00:00:c2:86:09","7.13.3.0","bxfcoe.sys","True"
"1","CC-SQL2","BCM57810","System.Object[]","FCoE Adapter","7.13.4.0","18446738026647457800","50:06:0b:00:00:c2:86:0b","7.13.3.0","bxfcoe.sys","True"
"1","BACKUP-NODE3","BCM57810","System.Object[]","FCoE Adapter","7.13.4.0","18446738026839744520","50:06:0b:00:00:c2:86:01","7.13.3.0","bxfcoe.sys","True"
"1","BACKUP-NODE3","BCM57810","System.Object[]","FCoE Adapter","7.13.4.0","18446738026881138696","50:06:0b:00:00:c2:86:03","7.13.3.0","bxfcoe.sys","True"
"1","BEMS02","BCM57810","System.Object[]","FCoE Adapter","7.13.4.0","18446708890300993552","50:06:0b:00:00:c2:86:2d","7.13.3.0","bxfcoe.sys","True"
"1","BEMS02","BCM57810","System.Object[]","FCoE Adapter","7.13.4.0","18446708890301091856","50:06:0b:00:00:c2:86:2f","7.13.3.0","bxfcoe.sys","True"
"1","SYSSQL12-NODE1","650FLB","System.Object[]","HP FlexFabric 20Gb 2-port 650FLB Adapter","10.7.110.20","2986662808156571216","50:06:0b:00:00:c2:72:29","10.7.110.34","elxcna","True"
"1","SYSSQL12-NODE1","650FLB","System.Object[]","HP FlexFabric 20Gb 2-port 650FLB Adapter","10.7.110.20","3130777996232427088","50:06:0b:00:00:c2:72:2b","10.7.110.34","elxcna","True"
"1","SYSSQL12-NODE2","650FLB","System.Object[]","HP FlexFabric 20Gb 2-port 650FLB Adapter","10.7.110.20","1262910050780513872","50:06:0b:00:00:c2:86:11","10.7.110.34","elxcna","True"
"1","SYSSQL12-NODE2","650FLB","System.Object[]","HP FlexFabric 20Gb 2-port 650FLB Adapter","10.7.110.20","1407025238856369744","50:06:0b:00:00:c2:86:13","10.7.110.34","elxcna","True"
